Insee,Nom,Altitude,code_postal,longitude_radian,latitude_radian,pop99,surface
1001,L'Abergement-Clémenciat,257,1400,0.085855661,0.805508225,728,15.7
1002,L'Abergement-de-Varey,367,1640,0.094664724,0.802987211,168,9.14
1004,Ambérieu-en-Bugey,247,1500,0.093355722,0.802085464,11436,24.51
1005,Ambérieux-en-Dombes,293,1330,0.085593864,0.802783612,1408,16.06
1006,Ambléon,400,1300,0.097777219,0.798492993,86,6.03
1007,Ambronay,250,1500,0.093539946,0.802992071,2146,33.64
1008,Ambutrix,270,1500,0.093239325,0.801794647,586,5.19
1009,Andert-et-Condon,330,1300,0.098717756,0.79928322,275,6.95
1010,Anglefort,250,1350,0.101384237,0.801314612,769,29.49
1011,Apremont,900,1100,0.098848658,0.806516631,329,15.09
1012,Aranc,781,1110,0.096124012,0.802943601,275,21.76
1013,Arandas,740,1230,0.095799189,0.801043103,135,14.05
1014,Arbent,560,1100,0.099110455,0.808009866,3610,23.78
1015,Arbignieu,280,1300,0.098625644,0.798124545,431,13.04
1016,Arbigny,200,1190,0.086767103,0.81108362,332,17.48
1017,Argis,320,1230,0.09584284,0.801712089,390,7.9
1019,Armix,721,1510,0.097500882,0.800223781,15,6.95
1021,Ars-sur-Formans,250,1480,0.084149116,0.802764171,1102,5.57
1022,Artemare,260,1510,0.0993868,0.80065528,970,3.34
1023,Asnières-sur-Saône,174,1570,0.085215704,0.809527335,69,4.7
1024,Attignat,222,1340,0.090078378,0.807912927,1924,18.97
1025,Bâgé-la-Ville,210,1380,0.086311386,0.80835894,2314,39.85
1026,Bâgé-le-Châtel,205,1380,0.08603019,0.808232906,762,0.89
1027,Balan,194,1360,0.089006938,0.799952272,1534,17.94
1028,Baneins,240,1990,0.085608403,0.804805217,529,9.06
1029,Beaupont,210,1270,0.091881879,0.810012163,492,14.06
1030,Beauregard,180,1480,0.082927383,0.80292416,817,0.95
1031,Bellignat,526,01810|01100,0.098213519,0.807083885,3488,7.79
1032,Béligneux,250,1360,0.089525689,0.80053404,2594,13.3
1033,Bellegarde-sur-Valserine,350,1200,0.10154907,0.804848893,10846,15.51
